VG,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V,is_oxide
0.3,4.250600e-07,-0.073068,5.922667e+08,1.688429e+11,0.000000,0.000000,0
0.3,4.631533e-07,-0.074144,5.681249e+08,1.760176e+11,0.000000,0.000000,0
0.3,5.042940e-07,-0.075303,5.432088e+08,1.840913e+11,0.000000,0.000000,0
0.3,5.487259e-07,-0.076552,5.175842e+08,1.932053e+11,0.000000,0.000000,0
0.3,5.967125e-07,-0.077898,4.913307e+08,2.035289e+11,0.000000,0.000000,0
0.3,6.485379e-07,-0.079347,4.645426e+08,2.152655e+11,0.000000,0.000000,0
0.3,7.045094e-07,-0.080908,4.373283e+08,2.286612e+11,0.000000,0.000000,0
0.3,7.649586e-07,-0.082588,4.098111e+08,2.440149e+11,0.000000,0.000000,0
0.3,8.302438e-07,-0.084396,3.821277e+08,2.616926e+11,0.000000,0.000000,0
0.3,9.007517e-07,-0.086341,3.544277e+08,2.821450e+11,0.000000,0.000000,0
0.3,9.769003e-07,-0.088434,3.268718e+08,3.059304e+11,0.000000,0.000000,0
0.3,1.059141e-06,-0.090683,2.996294e+08,3.337457e+11,0.000000,0.000000,0
0.3,1.147961e-06,-0.093101,2.728760e+08,3.664669e+11,0.000000,0.000000,0
0.3,1.243886e-06,-0.095699,2.467896e+08,4.052035e+11,0.000000,0.000000,0
0.3,1.347485e-06,-0.098489,2.215470e+08,4.513715e+11,0.000000,0.000000,0
0.3,1.459372e-06,-0.101482,1.973191e+08,5.067932e+11,0.000000,0.000000,0
0.3,1.580211e-06,-0.104694,1.742666e+08,5.738335e+11,-0.000000,-0.000000,0
0.3,1.710716e-06,-0.108138,1.525347e+08,6.555885e+11,0.000000,0.000000,0
0.3,1.851662e-06,-0.111827,1.322491e+08,7.561490e+11,0.000000,0.000000,0
0.3,2.003883e-06,-0.115777,1.135111e+08,8.809714e+11,0.000000,0.000000,0
0.3,2.168282e-06,-0.120002,9.639434e+07,1.037405e+12,0.000000,0.000000,0
0.3,2.345833e-06,-0.124519,8.094212e+07,1.235451e+12,-0.000000,-0.000000,0
0.3,2.537588e-06,-0.129342,6.716567e+07,1.488856e+12,0.000000,0.000000,0
0.3,2.744684e-06,-0.134487,5.504410e+07,1.816725e+12,0.000000,0.000000,0
0.3,2.968347e-06,-0.139970,4.452569e+07,2.245894e+12,0.000000,0.000000,0
0.3,3.209903e-06,-0.145804,3.553056e+07,2.814478e+12,0.000000,0.000000,0
0.3,3.470784e-06,-0.152003,2.795472e+07,3.577214e+12,0.000000,0.000000,0
0.3,3.752535e-06,-0.158581,2.167513e+07,4.613582e+12,0.000000,0.000000,0
0.3,4.056826e-06,-0.165546,1.655559e+07,6.040257e+12,0.000000,0.000000,0
0.3,4.385461e-06,-0.172908,1.245278e+07,8.030333e+12,0.000000,0.000000,0
0.3,4.740386e-06,-0.180672,9.222385e+06,1.084318e+13,0.000000,0.000000,0
0.3,5.123706e-06,-0.188838,6.724476e+06,1.487105e+13,0.000000,0.000000,0
0.3,5.537690e-06,-0.197403,4.828145e+06,2.071189e+13,0.000000,0.000000,0
0.3,5.984794e-06,-0.206355,3.414940e+06,2.928310e+13,0.000000,0.000000,0
0.3,6.467666e-06,-0.215678,2.381061e+06,4.199809e+13,-0.000000,-0.000000,0
