VG_V,Qs_C_cm2,C_lf_F_cm2,C_lf_analytic_F_cm2,C_hf_F_cm2,C_hf_analytic_F_cm2
0.7000,-2.914434e-08,4.741660e-08,3.375683e-08,3.246666e-08,3.375683e-08
0.7250,-3.048343e-08,6.892325e-08,3.318105e-08,3.189608e-08,3.318105e-08
0.7500,-3.259050e-08,1.193399e-07,3.453133e-06,3.136928e-08,3.375174e-08
0.7750,-3.645043e-08,2.236136e-07,3.453133e-06,3.089839e-08,3.375174e-08
0.8000,-4.377118e-08,4.035725e-07,3.453133e-06,3.050247e-08,3.375174e-08
0.8250,-5.662905e-08,6.552680e-07,3.453133e-06,3.019686e-08,3.375174e-08
0.8500,-7.653458e-08,9.460691e-07,3.453133e-06,2.997914e-08,3.375174e-08
0.8750,-1.039325e-07,1.238727e-06,3.453133e-06,2.983103e-08,3.375174e-08
0.9000,-1.384709e-07,1.509773e-06,3.453133e-06,2.973125e-08,3.375174e-08
0.9250,-1.794212e-07,1.749419e-06,3.453133e-06,2.966314e-08,3.375174e-08
0.9500,-2.259419e-07,1.955870e-06,3.453133e-06,2.961552e-08,3.375174e-08
0.9750,-2.772146e-07,2.131265e-06,3.453133e-06,2.958131e-08,3.375174e-08
1.0000,-3.325051e-07,2.279378e-06,3.453133e-06,2.955605e-08,3.375174e-08
1.0250,-3.911835e-07,2.404354e-06,3.453133e-06,2.953692e-08,3.375174e-08
1.0500,-4.527228e-07,2.510081e-06,3.453133e-06,2.952209e-08,3.375174e-08
1.0750,-5.166876e-07,2.599940e-06,3.453133e-06,2.951036e-08,3.375174e-08
1.1000,-5.827198e-07,2.676755e-06,3.453133e-06,2.950091e-08,3.375174e-08
1.1250,-6.505253e-07,2.742837e-06,3.453133e-06,2.949317e-08,3.375174e-08
1.1500,-7.198616e-07,2.800052e-06,3.453133e-06,2.948674e-08,3.375174e-08
1.1750,-7.905279e-07,2.849908e-06,3.453133e-06,2.948133e-08,3.375174e-08
1.2000,-8.623570e-07,2.893620e-06,3.453133e-06,2.947673e-08,3.375174e-08
1.2250,-9.352089e-07,2.932170e-06,3.453133e-06,2.947278e-08,3.375174e-08
1.2500,-1.008966e-06,2.966357e-06,3.453133e-06,2.946934e-08,3.375174e-08
1.2750,-1.083527e-06,2.996833e-06,3.453133e-06,2.946634e-08,3.375174e-08
1.3000,-1.158807e-06,3.024133e-06,3.453133e-06,2.946370e-08,3.375174e-08
1.3250,-1.234733e-06,3.048699e-06,3.453133e-06,2.946136e-08,3.375174e-08
1.3500,-1.311242e-06,3.070900e-06,3.453133e-06,2.945927e-08,3.375174e-08
1.3750,-1.388278e-06,3.091043e-06,3.453133e-06,2.945739e-08,3.375174e-08
1.4000,-1.465794e-06,3.109386e-06,3.453133e-06,2.945570e-08,3.375174e-08
1.4250,-1.543748e-06,3.126149e-06,3.453133e-06,2.945417e-08,3.375174e-08
1.4500,-1.622102e-06,3.141516e-06,3.453133e-06,2.945277e-08,3.375174e-08
1.4750,-1.700824e-06,3.155647e-06,3.453133e-06,2.945150e-08,3.375174e-08
1.5000,-1.779884e-06,3.168679e-06,3.453133e-06,2.945033e-08,3.375174e-08
1.5250,-1.859257e-06,3.180729e-06,3.453133e-06,2.944926e-08,3.375174e-08
1.5500,-1.938921e-06,3.191899e-06,3.453133e-06,2.944827e-08,3.375174e-08
1.5750,-2.018852e-06,3.202278e-06,3.453133e-06,2.944735e-08,3.375174e-08
1.6000,-2.099034e-06,3.211943e-06,3.453133e-06,2.944650e-08,3.375174e-08
1.6250,-2.179450e-06,3.220962e-06,3.453133e-06,2.944571e-08,3.375174e-08
1.6500,-2.260083e-06,3.229396e-06,3.453133e-06,2.944497e-08,3.375174e-08
1.6750,-2.340919e-06,3.237297e-06,3.453133e-06,2.944429e-08,3.375174e-08
1.7000,-2.421947e-06,3.244711e-06,3.453133e-06,2.944364e-08,3.375174e-08
1.7250,-2.503155e-06,3.251682e-06,3.453133e-06,2.944303e-08,3.375174e-08
1.7500,-2.584531e-06,3.258245e-06,3.453133e-06,2.944246e-08,3.375174e-08
1.7750,-2.666067e-06,3.264434e-06,3.453133e-06,2.944193e-08,3.375174e-08
1.8000,-2.747753e-06,3.270279e-06,3.453133e-06,2.944142e-08,3.375174e-08
1.8250,-2.829581e-06,3.275807e-06,3.453133e-06,2.944094e-08,3.375174e-08
1.8500,-2.911544e-06,3.281041e-06,3.453133e-06,2.944049e-08,3.375174e-08
1.8750,-2.993633e-06,3.286004e-06,3.453133e-06,2.944006e-08,3.375174e-08
1.9000,-3.075844e-06,3.290715e-06,3.453133e-06,2.943965e-08,3.375174e-08
1.9250,-3.158169e-06,3.295192e-06,3.453133e-06,2.943926e-08,3.375174e-08
1.9500,-3.240603e-06,3.299452e-06,3.453133e-06,2.943889e-08,3.375174e-08
1.9750,-3.323142e-06,3.303509e-06,3.453133e-06,2.943854e-08,3.375174e-08
2.0000,-3.405779e-06,3.305489e-06,3.453133e-06,2.943821e-08,3.375174e-08
