Na_cm3,n_mesh_points,max_selfconsist_away_from_eq,F_peak_V_cm,G_btbt_at_F_peak,Va_neg1_V,I_tat_neg1_A,Va_neg5_V,I_tat_neg5_A,enhancement_neg5
1e+16,266,2.6327039089167824e-07,539872.0482981822,4170269763417009.0,-0.9384615384615385,-1.7588791965483908e-09,-5.0,-5.694741066807032e-09,1.1252492730029668
1e+17,266,1.937578997007091e-05,570792.0871352653,4.0719056760348024e+16,-0.9384615384615385,-6.419351657864112e-10,-5.0,-2.2546502729217455e-09,1.4401404013421613
1e+18,266,0.00048704920401988793,856684.8354636664,2.799296274924051e+22,-0.9384615384615385,-1.163095756837877e-08,-5.0,-5.334004813404311e-06,11017.2290598131
