Va_V,I_tat_A,I_no_tat_A,enhancement,J_std_over_mean
-0.05,-6.579263211374645e-11,-5.514534824578563e-11,1.1930767364185522,8.356666368374608e-06
-0.1769230769230769,-1.709544971027968e-10,-1.4136644747744852e-10,1.209300369028997,1.5340542990234887e-05
-0.3038461538461538,-2.611795048737755e-10,-2.134473574231438e-10,1.223624916358211,1.6084030508430475e-05
-0.43076923076923074,-3.452694394108119e-10,-2.792292111229435e-10,1.2365090243326695,9.891224614100535e-06
-0.5576923076923077,-4.246292923005817e-10,-3.40178012242734e-10,1.248256139487309,1.9375781031038485e-05
-0.6846153846153846,-5.001261882620387e-10,-3.97216126055866e-10,1.2590782585490978,1.1876379047447407e-05
-0.8115384615384615,-5.724030076946039e-10,-4.510220704269008e-10,1.269124163154175,1.5197462649221217e-05
-0.9384615384615385,-6.419351657864415e-10,-5.02097005679874e-10,1.2785082534344474,1.1906313483526837e-05
-1.0653846153846154,-7.090663441088189e-10,-5.508071738289896e-10,1.2873222750162736,1.809674251839583e-05
-1.1923076923076923,-7.740566126025888e-10,-5.974312945790433e-10,1.2956412220554963,1.718432218431897e-05
-1.3192307692307692,-8.371340335636352e-10,-6.422078724122155e-10,1.3035250259690088,1.558026351265059e-05
-1.4461538461538461,-8.986350067380638e-10,-6.854583150768813e-10,1.3109987682289221,9.932627018808413e-06
-1.573076923076923,-9.587811179864564e-10,-7.274063145659315e-10,1.318081928610414,1.0930526224222795e-05
-1.7,-1.0170673705826403e-09,-7.676502571622086e-10,1.3249098285232888,7.061813067604584e-06
-1.8269230769230769,-1.0741356447276331e-09,-8.067366139479083e-10,1.3314576606002302,1.020694085996739e-05
-1.9538461538461538,-1.1307950890810773e-09,-8.453949918662276e-10,1.3375937874730282,6.4926720569005645e-06
-2.0807692307692305,-1.1848399216233704e-09,-8.817575935732591e-10,1.3437252259114572,1.8231313651952032e-05
-2.2076923076923074,-1.239788858205304e-09,-9.188067706093344e-10,1.3493466720789409,1.8660611502784564e-05
-2.3346153846153843,-1.2915974909938943e-09,-9.531658856938748e-10,1.3550605517670746,1.668377966659969e-05
-2.4615384615384612,-1.3450091560116052e-09,-9.888025308828435e-10,1.360240405949129,1.651618281315646e-05
-2.588461538461538,-1.3945052411000386e-09,-1.0211215770097072e-09,1.3656603410377077,1.401802142304226e-05
-2.715384615384615,-1.447071416147373e-09,-1.055980659911056e-09,1.3703578778320222,1.3377435232076239e-05
-2.842307692307692,-1.494291716434633e-09,-1.0862949034479236e-09,1.3755856827567898,1.1907579978450897e-05
-2.969230769230769,-1.54534494025065e-09,-1.119868180824379e-09,1.3799346804487835,1.0784008188522237e-05
-3.096153846153846,-1.5928233806258782e-09,-1.1503209458077146e-09,1.3846773688950385,1.0460883235441297e-05
-3.2230769230769227,-1.6388957796734361e-09,-1.1796799240824857e-09,1.3892715695302797,9.425262051278816e-06
-3.3499999999999996,-1.6894697879822228e-09,-1.2127616415468074e-09,1.393076537139979,1.2413481492015142e-05
-3.4769230769230766,-1.7324247475893686e-09,-1.239383175219453e-09,1.397812058633614,9.142891878834976e-06
-3.6038461538461535,-1.778424059112107e-09,-1.2686913555217337e-09,1.4017783374749584,7.225350158645741e-06
-3.7307692307692304,-1.8276748301916505e-09,-1.3006240789052601e-09,1.405229120262029,9.61076676235986e-06
-3.8576923076923073,-1.868057058549792e-09,-1.3250699286766082e-09,1.4097799807557954,1.2786792910080571e-05
-3.9846153846153842,-1.911668869991493e-09,-1.352387499438576e-09,1.4135511240565994,9.496083300026006e-06
-4.111538461538461,-1.9610853786015192e-09,-1.3844983697411834e-09,1.416459146115226,1.7773401344865786e-05
-4.2384615384615385,-2.0013350851081708e-09,-1.4088061753416362e-09,1.4205893756980772,1.272817236931805e-05
-4.365384615384615,-2.0396089243368495e-09,-1.431619774007861e-09,1.4246861920794132,1.6821265611486416e-05
-4.4923076923076914,-2.0874824565447517e-09,-1.4625509326333112e-09,1.4272887254505773,1.7989162579480664e-05
-4.619230769230769,-2.132740261699704e-09,-1.4911031812386377e-09,1.4303103155665378,1.6949252555773187e-05
-4.746153846153846,-2.1678049911589454e-09,-1.5111175779771077e-09,1.4345706930766615,1.206573916241609e-05
-4.873076923076923,-2.2062408588240504e-09,-1.5341627947074243e-09,1.4380748030360078,1.413574092999391e-05
-5.0,-2.2546502729217446e-09,-1.5655767110071275e-09,1.4401404013421608,1.3089424121327616e-05
0.0,-1.1002285558745965e-15,-2.062254973549923e-18,533.5075293724159,77.72446109035886
0.08571428571428572,3.348000072323552e-10,2.85425609570573e-10,1.1729851702377607,3.8065345255864366e-06
0.17142857142857143,2.105175091201688e-09,1.8168403081011989e-09,1.1587012253167321,1.4980072402772062e-06
0.2571428571428571,1.2090983949528667e-08,1.0582416820215057e-08,1.1425541211372312,3.588647398359729e-07
0.34285714285714286,7.07733782633957e-08,6.305999573700831e-08,1.122318158068961,1.3928847201151683e-07
0.4285714285714286,4.6150666284587656e-07,4.226081545358171e-07,1.0920439132386943,1.5937632924110555e-08
0.5142857142857142,4.147782265217035e-06,3.9553902268935285e-06,1.0486404696597045,3.921832720281156e-09
0.6,6.346734424100829e-05,6.255101275129946e-05,1.0146493469794347,2.2820187261582435e-10
