Va_V,I_tat_A,I_no_tat_A,enhancement,J_std_over_mean,I_srh_closed_A,I_tat_closed_A
-0.05,-4.356836834164757e-11,-3.6438746385081745e-11,1.1956604621141615,1.2132276329088876,-6.715573837991307e-10,-7.533877684357804e-10
-0.1769230769230769,-1.1322782497422098e-10,-9.34163211654645e-11,1.2120775423564922,1.0986164153366837,-7.233924082111543e-10,-8.200219414072858e-10
-0.3038461538461538,-1.7309355485925562e-10,-1.4116410419900497e-10,1.2261867550637262,1.4890627834613561,-7.71753738429516e-10,-8.832471455137506e-10
-0.43076923076923074,-2.289478088312909e-10,-1.8477643079492582e-10,1.2390530970120788,2.691656511209579,-8.172582757625243e-10,-9.436452688781443e-10
-0.5576923076923077,-2.816949121792298e-10,-2.2524101792458196e-10,1.2506377158779776,1.5220703360428582,-8.603594282767726e-10,-1.0016444574769327e-09
-0.6846153846153846,-3.319059828131909e-10,-2.6313156219647055e-10,1.2613689518757505,1.123748348494529,-9.014020203811035e-10,-1.0575709038692957e-09
-0.8115384615384615,-3.8001138466590023e-10,-2.988953895148745e-10,1.2713859028828847,2.4858855610088733,-9.406555474080487e-10,-1.1116801363317442e-09
-0.9384615384615385,-4.262849923383131e-10,-3.32848633243437e-10,1.2807172683402281,1.6607744992713172,-9.783353798120237e-10,-1.164176931206648e-09
-1.0653846153846154,-4.709642887045698e-10,-3.652332259857448e-10,1.2894891680061762,1.218450934588044,-1.0146168596639507e-09,-1.2152285303514422e-09
-1.1923076923076923,-5.142579954032397e-10,-3.9626648368360665e-10,1.2977579900848786,1.642444069486208,-1.049645001148835e-09,-1.2649737260925794e-09
-1.3192307692307692,-5.563083343246336e-10,-4.2609286268685447e-10,1.3056035034632287,4.692508261761071,-1.0835413628279901e-09,-1.3135292919464584e-09
-1.4461538461538461,-5.972229078016757e-10,-4.548479817805089e-10,1.313016506006772,1.103322504786767,-1.1164090386061638e-09,-1.3609946502918679e-09
-1.573076923076923,-6.371722044930415e-10,-4.826647856349608e-10,1.3201133031795997,1.5893593134254735,-1.148336361004013e-09,-1.4074553347055293e-09
-1.7,-6.762788966740613e-10,-5.096876043007915e-10,1.3268498016580292,2.141416021306053,-1.1793997009183698e-09,-1.4529856073827991e-09
-1.8269230769230769,-7.14361392926986e-10,-5.357676433540582e-10,1.3333417980505131,1.2019060921146483,-1.2096656195200145e-09,-1.4976504711726668e-09
-1.9538461538461538,-7.515030499781519e-10,-5.609916544504899e-10,1.339597557318877,4.469275786882699,-1.2391925466089362e-09,-1.5415072393720215e-09
-2.0807692307692305,-7.884847566576632e-10,-5.860196940167216e-10,1.3454919087329587,4.139551056752216,-1.2680321068859184e-09,-1.5846067768424815e-09
-2.2076923076923074,-8.241537844605396e-10,-6.09909576435179e-10,1.3512720840974208,2.203018120224331,-1.2962301804139346e-09,-1.6269944930493204e-09
-2.3346153846153843,-8.594892988144986e-10,-6.334561402751688e-10,1.3568252703985828,8.546916298319108,-1.3238277596191819e-09,-1.6687111452323054e-09
-2.4615384615384612,-8.944107107500212e-10,-6.566482803671662e-10,1.362084905255382,10.414311473458948,-1.3508616486009004e-09,-1.7097934944150833e-09
-2.588461538461538,-1.0323108448751815e-13,-6.787878479624273e-10,0.00015208151530319124,13857.755283508057,-1.3773650388270873e-09,-1.7502748460363795e-09
-2.715384615384615,-9.62225486301046e-10,-7.012254151862193e-10,1.372205663774344,1.6550821207471653,-1.403367986917738e-09,-1.790185499167024e-09
-2.842307692307692,-9.949667989034722e-10,-7.224804241889437e-10,1.377153990048134,1.1558380578394005,-1.428897814130858e-09,-1.8295531225980014e-09
-2.969230769230769,-1.027582118759152e-09,-7.436586307508294e-10,1.3817927692463696,7.216183159361935,-1.453979442684918e-09,-1.868403071905502e-09
-3.096153846153846,-1.0604418931574272e-09,-7.649809646481667e-10,1.3862330465244324,1.6053055855731193,-1.4786356807113592e-09,-1.9067586584854687e-09
-3.2230769230769227,-1.0906284561135622e-09,-7.840902644404387e-10,1.3909475803680367,1.4208102416689337,-1.5028874651134548e-09,-1.94464137920445e-09
-3.3499999999999996,-1.1241313148425078e-09,-8.059678412417862e-10,1.394759514362899,2.7994663769001376,-1.5267540696908415e-09,-1.9820711135277187e-09
-3.4769230769230766,-1.1532130435112023e-09,-8.240925695413956e-10,1.3993731846811348,1.6425043702928628,-1.5502532844151454e-09,-2.0190662936127977e-09
-3.6038461538461535,-1.1839850284868986e-09,-8.43708936266816e-10,1.4033098117055773,3.454361971406187,-1.5734015705986655e-09,-2.0556440517916304e-09
-3.7307692307692304,-1.216197366343948e-09,-8.644690082271114e-10,1.4068721432109816,55.88574884380012,-1.5962141958035418e-09,-2.091820349031579e-09
-3.8576923076923073,-1.2430747234843237e-09,-8.807492007551741e-10,1.4113833114108802,2.3182131486348165,-1.6187053516335664e-09,-2.127610087308603e-09
-3.9846153846153842,-1.2736768983434016e-09,-9.002415929692943e-10,1.414816765066802,4.938893909053058,-1.640888256990569e-09,-2.1630272083042387e-09
-4.111538461538461,-1.305265703906959e-09,-9.204745960902597e-10,1.4180355541055774,1.4262451306102566,-1.6627752489293163e-09,-2.1980847804206558e-09
-4.2384615384615385,-1.330691144362747e-09,-9.35541220413758e-10,1.4223757492740168,1.2687680365342524,-1.6843778628842017e-09,-2.2327950757720983e-09
