Va_V,I_avalanche_A,I_no_avalanche_A,M_numeric,M_miller,ionization_integral,J_std_over_mean
-0.05,-5.514491744194592e-11,-5.514405325512906e-11,1.0000156714417212,1.0000000948947716,1.0682846457445704e-05,0.0661877964829824
-0.2044943820224719,-1.576773134296264e-10,-1.5763294486832995e-10,1.0002814675658918,1.0000064920101999,0.0006946340673975598,0.05299266599459174
-0.3589887640449438,-2.426963879147022e-10,-2.426963879147022e-10,1.0,1.0000351228744275,0.001690454751762045,0.17393655241093925
-0.5134831460674157,-3.194306126191329e-10,-3.194306126191329e-10,1.0,1.0001027910848568,0.003040110653587569,0.0991355712186257
-0.6679775280898876,-3.900327370184143e-10,-3.897630694438202e-10,1.0006918756437826,1.0002263164196024,0.0047782616642761495,0.522489209016788
-0.8224719101123595,-4.555264490169864e-10,-4.555263184858035e-10,1.0000002865502553,1.0004225507977902,0.006933705958662829,0.10011956825461472
-0.9769662921348314,-5.171301936586922e-10,-5.171301936586922e-10,1.0,1.000708399937809,0.009528762429179027,0.5717226104696179
-1.1314606741573032,-5.753436537238127e-10,-5.753436537238127e-10,1.0,1.0011008507743082,0.012582417931687523,0.10076573007628077
-1.2859550561797752,-6.30766691043368e-10,-6.306834854772166e-10,1.000131929197557,1.0016170047296993,0.01611171903941921,0.1392574675449223
-1.4404494382022472,-7.240934853621572e-10,-6.83575501571711e-10,1.0592736043016246,1.0022741169794205,0.020120894267493285,5.960682219607967
-1.594943820224719,-7.385140674711389e-10,-7.343825920358132e-10,1.0056257807308213,1.0030896419027566,0.024611507929492543,0.8048177328229618
-1.7494382022471908,-7.835805624168903e-10,-7.711772811565069e-10,1.0160835667277215,1.0040812849731657,0.029593589523298162,0.17930490367649407
-1.9039325842696628,-8.305657431397204e-10,-8.302169805275069e-10,1.000420086098446,1.0052670614147008,0.03507226081687476,0.18766064945375613
-2.0584269662921346,-8.753288373119871e-10,-8.753288373119871e-10,1.0,1.006665362035369,0.0410374844102892,0.24485644434649814
-2.212921348314606,-9.201161216590428e-10,-9.201161216590428e-10,1.0,1.0082950267455364,0.04748415242226127,0.16869586258908176
-2.367415730337078,-9.749706104001307e-10,-9.62756868375324e-10,1.012686216454023,1.0101754263816596,0.054419712239168375,0.2615052424763021
-2.52191011235955,-1.0038042327622204e-09,-1.003592951849152e-09,1.0002105245086457,1.0123265535849313,0.06183157546945257,0.24164879929300256
-2.676404494382022,-1.045737795718304e-09,-1.045737795718304e-09,1.0,1.0147691236337804,0.06971206162580988,0.12868265644998197
-2.8308988764044942,-1.0834258228597092e-09,-1.0834203710397368e-09,1.0000050320449183,1.017524686302072,0.07805342583511549,0.11706380242074878
-2.985393258426966,-1.1521925108781e-09,-1.124342532022245e-09,1.0247700127520427,1.0206157500156932,0.08686165616252246,0.1669530811029771
-3.139887640449438,-1.1924067492101656e-09,-1.1594944618673699e-09,1.0283850319472767,1.0240659198143678,0.09611552661212061,0.12064169875310754
-3.29438202247191,-1.1992370867836004e-09,-1.1992303019790721e-09,1.0000056576326641,1.027900050899662,0.10581278346761029,0.113501317542394
-3.4488764044943814,-1.2329359119532727e-09,-1.2329359119532727e-09,1.0,1.0321444198724006,0.11594491057806364,0.09829214012095241
-3.6033707865168534,-1.2697229111736777e-09,-1.2697229111736777e-09,1.0,1.0368269161432686,0.12650328160231655,0.09911561460329801
-3.7578651685393254,-1.3053724845922449e-09,-1.3053724845922449e-09,1.0,1.041977256451741,0.13748689849327897,0.09835485154767797
-3.9123595505617974,-1.4064245855922283e-09,-1.335444824822132e-09,1.053150650218402,1.0476272259663184,0.14887980501553005,0.31707492408017557
-4.066853932584269,-1.3796903128899622e-09,-1.3745733909536203e-09,1.0037225527352833,1.0538109500827917,0.16067391351939453,0.22397879345329985
-4.221348314606741,-1.4041153408331514e-09,-1.4040984165795825e-09,1.0000120534667436,1.0605652018113592,0.17285991381378754,0.6248938468764693
-4.3758426966292125,-1.435090407035734e-09,-1.4351164685889663e-09,0.9999818401127695,1.0679297505785779,0.18543744561235811,0.2486852156575157
-4.530337078651685,-1.4730070765889035e-09,-1.4730070765889035e-09,1.0,1.0759477594052125,0.1983901027891787,0.20949205559846742
-4.684831460674157,-1.499466057075897e-09,-1.4994664294034893e-09,0.999999751693279,1.0846662388054098,0.21171795877470073,0.3548168097163651
-4.839325842696629,-1.528207143842943e-09,-1.528207143842943e-09,1.0,1.094136567449379,0.225404609155735,0.17083307025245403
-4.993820224719101,-1.566896059165192e-09,-1.5662595471352837e-09,1.0004063898803186,1.1044150917218938,0.2394506025282079,0.11844807624014998
-5.148314606741573,-1.5932560512995298e-09,-1.5902906676466668e-09,1.0018646802834172,1.1155638188972306,0.25383958075253454,0.23692765051699316
-5.302808988764045,-1.6164229075526849e-09,-1.6164080919209932e-09,1.0000091657742656,1.1276512218737325,0.2685821599462696,0.13218438686550874
-5.457303370786517,-1.873353164129085e-09,-1.6519355894105178e-09,1.1340352348710996,1.1407531774462585,0.2836528695177405,0.8170025526674144
-5.611797752808989,-1.6855626215239264e-09,-1.6855626215239264e-09,1.0,1.1549540651771382,0.2990441188930311,1.040087592570391
-5.76629213483146,-1.7060483098325865e-09,-1.7060483098325865e-09,1.0,1.1703480603674452,0.3147577420251966,3.0157421974404466
-5.920786516853932,-1.7301835280645786e-09,-1.7301835280645786e-09,1.0,1.1870406628470416,0.33078686889278475,1.2455279420932783
-6.075280898876404,-1.7673154336623583e-09,-1.7672339842246362e-09,1.0000460886551803,1.2051505138553884,0.34711542156534825,1.2426863019201064
-6.229775280898876,-1.798516477527748e-09,-1.798516477527748e-09,1.0,1.2248115669386272,0.3637459987144289,1.1732508973008733
-6.384269662921348,-1.8166471658956619e-09,-1.816633121372664e-09,1.000007731072847,1.2461756965882693,0.3806721983001686,1.9621625961762421
-6.53876404494382,-1.8375435245364866e-09,-1.837508341567877e-09,1.0000191471068804,1.2694158517413503,0.3978780682917277,1.8819148559731513
-6.693258426966292,-2.3213147964919138e-09,-1.872397090743739e-09,1.2397556095164937,1.2947298922760444,0.41537679545217965,0.09829640546935378
-6.847752808988763,-2.3958206333196717e-09,-1.9117770455144093e-09,1.2531903963074411,1.3223452881318711,0.4331429230359578,2.839416269305385
-7.002247191011235,-1.9274492160339136e-09,-1.927451355094472e-09,0.9999988902129475,1.3525249167491689,0.4511803207958495,2.0992505055534347
-7.156741573033707,-1.9424770156482897e-09,-1.9424770156482897e-09,1.0,1.3855742710741523,0.46948382432568997,1.613775228953617
-7.311235955056179,-2.582504843773677e-09,-1.967426239440773e-09,1.3126310872562805,1.4218504960832037,0.4880476159341671,0.11427628391823029
-7.465730337078651,-2.6672247609784975e-09,-2.005523766288746e-09,1.3299392437090085,1.4617738195264725,0.5068558033104008,0.7621792864433852
-7.620224719101123,-2.036488037871577e-09,-2.036501486462176e-09,0.9999933962284394,1.5058421518119058,0.5259235884010298,1.8356620661275493
-7.774719101123595,-2.8178879722021197e-09,-2.0531147888738124e-09,1.3724941184354362,1.5546499304445764,0.5452251891020202,0.3055302508182703
-7.929213483146067,-2.0725720597930383e-09,-2.0660699818941183e-09,1.0031470753439624,1.608912722698639,0.5647553075015742,3.1591477642568306
-8.08370786516854,-2.0882097739499353e-09,-2.088195811413724e-09,1.0000066864113677,1.6694997501790723,0.5845300690466052,3.6993777048174272
-8.238202247191012,-2.124489411802171e-09,-2.1182656667433927e-09,1.0029381324337596,1.737477480714758,0.6045342192090025,4.120590536005962
-8.392696629213484,-2.159497711624415e-09,-2.159508860649439e-09,0.9999948372404359,1.8141689461314845,0.6247523039194914,5.571354512435224
-8.547191011235956,-2.1793291765555685e-09,-2.179336054738298e-09,0.999996843909082,1.9012358288139473,0.6451904009173872,1.6523123724619366
-8.701685393258426,-2.1904123675279485e-09,-2.1904123675279485e-09,1.0,2.000794211092554,0.6658550988530326,1.0757869412689045
-8.856179775280898,-2.203904045547783e-09,-2.2039960298086807e-09,0.999958264779222,2.115581275489908,0.6867201656659462,0.7922980727197615
-9.01067415730337,-3.6158433371908282e-09,-2.229583734260068e-09,1.6217571386215812,2.2492011940424925,0.7077811102359475,0.7652650317096553
-9.165168539325842,-2.267722663355194e-09,-2.267741866521111e-09,0.9999915320318417,2.4064978687816088,0.7290561020745423,0.9599158898972453
-9.319662921348314,-2.3007833770557943e-09,-2.300771923714743e-09,1.0000049780427747,2.5941380542643433,0.7505300212196465,0.3338077225532514
-9.474157303370786,-2.318661163182165e-09,-2.3186542985959856e-09,1.0000029605906253,2.821557783017191,0.7721989372281293,0.5436287051704622
