Va,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V
0,-9.340798e-04,-0.416685,1.000000e+03,1.000000e+17,0.000000,0.000000
0,-9.220851e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-9.034035e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-8.847219e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-8.660403e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-8.473587e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-8.286771e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-8.099955e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-7.913139e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-7.726323e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-7.539507e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-7.352691e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-7.165875e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-6.979059e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-6.792243e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-6.605427e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-6.418611e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-6.231796e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-6.044980e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-5.858164e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-5.671348e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-5.484532e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-5.297716e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-5.110900e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-4.924084e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
0,-4.737268e-04,-0.416685,1.000000e+03,1.000000e+17,-0.000000,-0.000000
