VG_V,Qs_C_cm2,C_lf_F_cm2,C_lf_analytic_F_cm2,C_hf_F_cm2,C_hf_analytic_F_cm2
-0.3250,-4.102923e-08,3.990080e-08,3.798793e-08,3.981535e-08,3.798793e-08
-0.3000,-4.201525e-08,3.903737e-08,3.717097e-08,3.890044e-08,3.717097e-08
-0.2750,-4.298109e-08,3.831953e-08,3.640490e-08,3.804590e-08,3.640490e-08
-0.2500,-4.393123e-08,3.787104e-08,3.568463e-08,3.724548e-08,3.568463e-08
-0.2250,-4.487465e-08,3.801579e-08,3.500576e-08,3.649394e-08,3.500576e-08
-0.2000,-4.583202e-08,3.957707e-08,3.436446e-08,3.578709e-08,3.436446e-08
-0.1750,-4.685350e-08,4.459636e-08,3.375737e-08,3.512201e-08,3.375737e-08
-0.1500,-4.806184e-08,5.790427e-08,3.318156e-08,3.449790e-08,3.318156e-08
-0.1250,-4.974871e-08,8.976632e-08,3.453133e-06,3.391779e-08,3.375174e-08
-0.1000,-5.255015e-08,1.573020e-07,3.453133e-06,3.339133e-08,3.375174e-08
-0.0750,-5.761381e-08,2.768646e-07,3.453133e-06,3.293601e-08,3.375174e-08
-0.0500,-6.639338e-08,4.454492e-07,3.453133e-06,3.256975e-08,3.375174e-08
-0.0250,-7.988627e-08,6.343358e-07,3.453133e-06,3.229574e-08,3.375174e-08
0.0000,-9.811017e-08,8.096095e-07,3.453133e-06,3.209871e-08,3.375174e-08
0.0250,-1.203667e-07,9.522188e-07,3.453133e-06,3.195660e-08,3.375174e-08
0.0500,-1.457211e-07,1.058101e-06,3.453133e-06,3.185062e-08,3.375174e-08
0.0750,-1.732718e-07,1.130481e-06,3.453133e-06,3.176766e-08,3.375174e-08
0.1000,-2.022452e-07,1.174853e-06,3.453133e-06,3.169929e-08,3.375174e-08
0.1250,-2.320144e-07,1.196947e-06,3.453133e-06,3.164021e-08,3.375174e-08
0.1500,-2.620925e-07,1.202026e-06,3.453133e-06,3.158716e-08,3.375174e-08
0.1750,-2.921158e-07,1.194647e-06,3.453133e-06,3.153817e-08,3.375174e-08
0.2000,-3.218249e-07,1.178593e-06,3.453133e-06,3.149208e-08,3.375174e-08
0.2250,-3.510454e-07,1.156885e-06,3.453133e-06,3.144823e-08,3.375174e-08
0.2500,-3.796691e-07,1.131829e-06,3.453133e-06,3.140627e-08,3.375174e-08
0.2750,-4.076369e-07,1.105109e-06,3.453133e-06,3.136601e-08,3.375174e-08
0.3000,-4.349246e-07,1.077896e-06,3.453133e-06,3.132733e-08,3.375174e-08
0.3250,-4.615317e-07,1.050959e-06,3.453133e-06,3.129015e-08,3.375174e-08
0.3500,-4.874725e-07,1.024775e-06,3.453133e-06,3.125439e-08,3.375174e-08
0.3750,-5.127704e-07,9.996105e-07,3.453133e-06,3.121996e-08,3.375174e-08
0.4000,-5.374531e-07,9.755984e-07,3.453133e-06,3.118679e-08,3.375174e-08
0.4250,-5.615503e-07,9.527811e-07,3.453133e-06,3.115477e-08,3.375174e-08
0.4500,-5.850921e-07,9.311482e-07,3.453133e-06,3.112383e-08,3.375174e-08
0.4750,-6.081077e-07,9.106583e-07,3.453133e-06,3.109389e-08,3.375174e-08
0.5000,-6.306250e-07,8.912542e-07,3.453133e-06,3.106487e-08,3.375174e-08
0.5250,-6.526704e-07,8.728716e-07,3.453133e-06,3.103669e-08,3.375174e-08
0.5500,-6.742686e-07,8.554443e-07,3.453133e-06,3.100930e-08,3.375174e-08
0.5750,-6.954427e-07,8.389076e-07,3.453133e-06,3.098265e-08,3.375174e-08
0.6000,-7.162140e-07,8.231995e-07,3.453133e-06,3.095667e-08,3.375174e-08
0.6250,-7.366026e-07,8.082622e-07,3.453133e-06,3.093133e-08,3.375174e-08
0.6500,-7.566271e-07,7.940416e-07,3.453133e-06,3.090658e-08,3.375174e-08
0.6750,-7.763047e-07,7.804878e-07,3.453133e-06,3.088239e-08,3.375174e-08
0.7000,-7.956515e-07,7.675550e-07,3.453133e-06,3.085872e-08,3.375174e-08
0.7250,-8.146825e-07,7.552008e-07,3.453133e-06,3.083555e-08,3.375174e-08
0.7500,-8.334115e-07,7.433865e-07,3.453133e-06,3.081284e-08,3.375174e-08
0.7750,-8.518518e-07,7.320765e-07,3.453133e-06,3.079057e-08,3.375174e-08
0.8000,-8.700154e-07,7.212381e-07,3.453133e-06,3.076872e-08,3.375174e-08
0.8250,-8.879137e-07,7.108413e-07,3.453133e-06,3.074727e-08,3.375174e-08
0.8500,-9.055574e-07,7.008584e-07,3.453133e-06,3.072620e-08,3.375174e-08
0.8750,-9.229566e-07,6.912642e-07,3.453133e-06,3.070549e-08,3.375174e-08
0.9000,-9.401206e-07,6.820351e-07,3.453133e-06,3.068513e-08,3.375174e-08
0.9250,-9.570584e-07,6.731496e-07,3.453133e-06,3.066509e-08,3.375174e-08
0.9500,-9.737781e-07,6.645878e-07,3.453133e-06,3.064537e-08,3.375174e-08
0.9750,-9.902878e-07,6.563312e-07,3.453133e-06,3.062595e-08,3.375174e-08
1.0000,-1.006595e-06,6.522770e-07,3.453133e-06,3.060681e-08,3.375174e-08
