Va,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V
0.65,-7.472904e-05,0.222019,2.824525e+13,1.000282e+17,0.006150,0.649157
0.65,-7.043810e-05,0.222017,2.853609e+13,1.000285e+17,0.005883,0.649156
0.65,-6.639006e-05,0.222015,2.881320e+13,1.000288e+17,0.005632,0.649154
0.65,-6.257114e-05,0.222014,2.907709e+13,1.000291e+17,0.005395,0.649153
0.65,-5.896840e-05,0.222012,2.932826e+13,1.000293e+17,0.005171,0.649151
0.65,-5.556958e-05,0.222011,2.956721e+13,1.000296e+17,0.004960,0.649150
0.65,-5.236314e-05,0.222010,2.979441e+13,1.000298e+17,0.004761,0.649149
0.65,-4.933821e-05,0.222009,3.001034e+13,1.000300e+17,0.004573,0.649148
0.65,-4.648449e-05,0.222008,3.021549e+13,1.000302e+17,0.004396,0.649147
0.65,-4.379231e-05,0.222006,3.041032e+13,1.000304e+17,0.004228,0.649146
0.65,-4.125252e-05,0.222005,3.059526e+13,1.000306e+17,0.004071,0.649145
0.65,-3.885648e-05,0.222005,3.077077e+13,1.000308e+17,0.003922,0.649144
0.65,-3.659607e-05,0.222004,3.093726e+13,1.000309e+17,0.003781,0.649143
0.65,-3.446361e-05,0.222003,3.109516e+13,1.000311e+17,0.003649,0.649142
0.65,-3.245186e-05,0.222002,3.124486e+13,1.000312e+17,0.003524,0.649141
0.65,-3.055398e-05,0.222001,3.138674e+13,1.000314e+17,0.003406,0.649141
0.65,-2.876352e-05,0.222001,3.152118e+13,1.000315e+17,0.003295,0.649140
0.65,-2.707441e-05,0.222000,3.164855e+13,1.000316e+17,0.003190,0.649139
0.65,-2.548091e-05,0.221999,3.176917e+13,1.000318e+17,0.003091,0.649139
0.65,-2.397761e-05,0.221999,3.188339e+13,1.000319e+17,0.002998,0.649138
0.65,-2.255940e-05,0.221998,3.199151e+13,1.000320e+17,0.002910,0.649138
0.65,-2.122147e-05,0.221998,3.209386e+13,1.000321e+17,0.002827,0.649137
0.65,-1.995927e-05,0.221997,3.219072e+13,1.000322e+17,0.002748,0.649137
0.65,-1.876852e-05,0.221997,3.228237e+13,1.000322e+17,0.002674,0.649136
0.65,-1.764516e-05,0.221996,3.236910e+13,1.000321e+17,0.002604,0.649136
0.65,-1.658539e-05,0.221996,3.245118e+13,1.000320e+17,0.002539,0.649135
0.65,-1.558561e-05,0.221996,3.252891e+13,1.000315e+17,0.002477,0.649135
0.65,-1.464242e-05,0.221996,3.260259e+13,1.000304e+17,0.002418,0.649135
0.65,-1.375262e-05,0.221996,3.267260e+13,1.000284e+17,0.002363,0.649134
0.65,-1.291319e-05,0.221996,3.273938e+13,1.000247e+17,0.002311,0.649134
0.65,-1.212127e-05,0.221998,3.280353e+13,1.000180e+17,0.002261,0.649134
0.65,-1.137417e-05,0.222001,3.286583e+13,1.000066e+17,0.002215,0.649134
0.65,-1.066937e-05,0.222005,3.292735e+13,9.998790e+16,0.002171,0.649133
0.65,-1.000445e-05,0.222013,3.298952e+13,9.995796e+16,0.002130,0.649133
0.65,-9.377180e-06,0.222024,3.305427e+13,9.991155e+16,0.002091,0.649133
0.65,-8.785411e-06,0.222042,3.312413e+13,9.984159e+16,0.002054,0.649133
0.65,-8.227138e-06,0.222069,3.320235e+13,9.973895e+16,0.002020,0.649132
0.65,-7.700466e-06,0.222107,3.329299e+13,9.959212e+16,0.001987,0.649132
0.65,-7.203606e-06,0.222160,3.340107e+13,9.938706e+16,0.001956,0.649132
0.65,-6.734869e-06,0.222232,3.353259e+13,9.910724e+16,0.001928,0.649132
0.65,-6.292665e-06,0.222330,3.369461e+13,9.873372e+16,0.001900,0.649132
0.65,-5.875492e-06,0.222458,3.389526e+13,9.824557e+16,0.001875,0.649132
0.65,-5.481932e-06,0.222623,3.414369e+13,9.762050e+16,0.001851,0.649131
0.65,-5.110649e-06,0.222831,3.445007e+13,9.683571e+16,0.001829,0.649131
0.65,-4.760382e-06,0.223090,3.482549e+13,9.586901e+16,0.001808,0.649131
0.65,-4.429941e-06,0.223407,3.528186e+13,9.470007e+16,0.001788,0.649131
0.65,-4.118205e-06,0.223789,3.583183e+13,9.331177e+16,0.001770,0.649131
0.65,-3.824114e-06,0.224242,3.648867e+13,9.169153e+16,0.001753,0.649131
0.65,-3.546669e-06,0.224771,3.726615e+13,8.983252e+16,0.001737,0.649131
0.65,-3.284929e-06,0.225382,3.817845e+13,8.773453e+16,0.001723,0.649130
0.65,-3.038005e-06,0.226078,3.924003e+13,8.540452e+16,0.001710,0.649130
0.65,-2.805057e-06,0.226861,4.046555e+13,8.285669e+16,0.001697,0.649130
0.65,-2.585295e-06,0.227731,4.186975e+13,8.011206e+16,0.001686,0.649130
0.65,-2.377973e-06,0.228689,4.346735e+13,7.719760e+16,0.001676,0.649130
0.65,-2.182386e-06,0.229732,4.527288e+13,7.414499e+16,0.001667,0.649130
0.65,-1.997869e-06,0.230857,4.730057e+13,7.098912e+16,0.001659,0.649130
0.65,-1.823797e-06,0.232058,4.956421e+13,6.776644e+16,0.001651,0.649130
0.65,-1.659579e-06,0.233329,5.207690e+13,6.451336e+16,0.001644,0.649130
0.65,-1.504655e-06,0.234665,5.485090e+13,6.126485e+16,0.001638,0.649130
0.65,-1.358501e-06,0.236057,5.789741e+13,5.805313e+16,0.001633,0.649130
0.65,-1.220620e-06,0.237497,6.122633e+13,5.490684e+16,0.001628,0.649129
0.65,-1.090543e-06,0.238978,6.484603e+13,5.185044e+16,0.001624,0.649129
0.65,-9.678290e-07,0.240490,6.876314e+13,4.890388e+16,0.001620,0.649129
0.65,-8.520612e-07,0.242026,7.298234e+13,4.608264e+16,0.001616,0.649129
0.65,-7.428463e-07,0.243578,7.750617e+13,4.339788e+16,0.001613,0.649129
0.65,-6.398133e-07,0.245138,8.233485e+13,4.085687e+16,0.001611,0.649129
0.65,-5.426124e-07,0.246698,8.746624e+13,3.846336e+16,0.001608,0.649129
0.65,-4.509135e-07,0.248253,9.289566e+13,3.621819e+16,0.001606,0.649129
0.65,-3.644050e-07,0.249796,9.861596e+13,3.411971e+16,0.001604,0.649129
0.65,-2.827933e-07,0.251322,1.046175e+14,3.216437e+16,0.001603,0.649129
0.65,-2.058011e-07,0.252825,1.108882e+14,3.034714e+16,0.001601,0.649129
0.65,-1.331669e-07,0.254302,1.174138e+14,2.866191e+16,0.001600,0.649128
0.65,-6.464414e-08,0.255749,1.241777e+14,2.710185e+16,0.001598,0.649128
0.65,0.000000e+00,0.257162,1.311618e+14,2.565972e+16,0.001597,0.649128
0.65,6.464414e-08,0.258553,1.384153e+14,2.431591e+16,0.001596,0.649128
0.65,1.331669e-07,0.260002,1.464055e+14,2.298966e+16,0.001595,0.649128
0.65,2.058011e-07,0.261513,1.552224e+14,2.168455e+16,0.001594,0.649128
0.65,2.827933e-07,0.263087,1.649691e+14,2.040409e+16,0.001593,0.649128
0.65,3.644050e-07,0.264724,1.757633e+14,1.915165e+16,0.001592,0.649128
0.65,4.509135e-07,0.266427,1.877399e+14,1.793047e+16,0.001591,0.649127
0.65,5.426124e-07,0.268197,2.010540e+14,1.674361e+16,0.001590,0.649127
0.65,6.398133e-07,0.270036,2.158837e+14,1.559391e+16,0.001589,0.649127
0.65,7.428463e-07,0.271945,2.324342e+14,1.448395e+16,0.001588,0.649127
0.65,8.520612e-07,0.273925,2.509421e+14,1.341606e+16,0.001587,0.649127
0.65,9.678290e-07,0.275976,2.716804e+14,1.239226e+16,0.001586,0.649126
0.65,1.090543e-06,0.278101,2.949647e+14,1.141426e+16,0.001586,0.649126
0.65,1.220620e-06,0.280300,3.211596e+14,1.048346e+16,0.001585,0.649125
0.65,1.358501e-06,0.282573,3.506872e+14,9.600905e+15,0.001584,0.649125
0.65,1.504655e-06,0.284920,3.840356e+14,8.767288e+15,0.001583,0.649124
0.65,1.659579e-06,0.287343,4.217691e+14,7.982970e+15,0.001582,0.649124
0.65,1.823797e-06,0.289839,4.645404e+14,7.247965e+15,0.001581,0.649123
0.65,1.997869e-06,0.292408,5.131021e+14,6.561955e+15,0.001580,0.649122
0.65,2.182386e-06,0.295050,5.683218e+14,5.924302e+15,0.001580,0.649121
0.65,2.377973e-06,0.297762,6.311955e+14,5.334066e+15,0.001579,0.649120
0.65,2.585295e-06,0.300542,7.028635e+14,4.790025e+15,0.001578,0.649118
0.65,2.805057e-06,0.303386,7.846242e+14,4.290703e+15,0.001578,0.649116
0.65,3.038005e-06,0.306290,8.779472e+14,3.834399e+15,0.001577,0.649114
0.65,3.284929e-06,0.309251,9.844826e+14,3.419214e+15,0.001576,0.649112
0.65,3.546669e-06,0.312260,1.106064e+15,3.043087e+15,0.001576,0.649109
0.65,3.824114e-06,0.315313,1.244704e+15,2.703829e+15,0.001575,0.649105
0.65,4.118205e-06,0.318399,1.402575e+15,2.399155e+15,0.001575,0.649101
0.65,4.429941e-06,0.321510,1.581971e+15,2.126723e+15,0.001574,0.649096
0.65,4.760382e-06,0.324635,1.785253e+15,1.884163e+15,0.001574,0.649090
0.65,5.110649e-06,0.327761,2.014754e+15,1.669112e+15,0.001573,0.649083
0.65,5.481932e-06,0.330874,2.272664e+15,1.479241e+15,0.001573,0.649075
0.65,5.875492e-06,0.333961,2.560861e+15,1.312281e+15,0.001572,0.649065
0.65,6.292665e-06,0.337003,2.880727e+15,1.166052e+15,0.001572,0.649053
0.65,6.734869e-06,0.339984,3.232915e+15,1.038473e+15,0.001572,0.649039
0.65,7.203606e-06,0.342887,3.617110e+15,9.275846e+14,0.001571,0.649022
0.65,7.700466e-06,0.345692,4.031792e+15,8.315571e+14,0.001571,0.649002
0.65,8.227138e-06,0.348383,4.474046e+15,7.486980e+14,0.001570,0.648979
0.65,8.785411e-06,0.350941,4.939434e+15,6.774553e+14,0.001570,0.648952
0.65,9.377180e-06,0.353350,5.421995e+15,6.164175e+14,0.001570,0.648921
0.65,1.000445e-05,0.355597,5.914384e+15,5.643098e+14,0.001569,0.648884
0.65,1.066937e-05,0.357670,6.408177e+15,5.199888e+14,0.001569,0.648842
0.65,1.137417e-05,0.359560,6.894328e+15,4.824339e+14,0.001569,0.648794
0.65,1.212127e-05,0.361262,7.363740e+15,4.507387e+14,0.001568,0.648740
0.65,1.291319e-05,0.362776,7.807886e+15,4.241001e+14,0.001568,0.648679
0.65,1.375262e-05,0.364103,8.219401e+15,4.018083e+14,0.001568,0.648610
0.65,1.464242e-05,0.365251,8.592562e+15,3.832363e+14,0.001567,0.648535
0.65,1.558561e-05,0.366228,8.923604e+15,3.678305e+14,0.001567,0.648451
0.65,1.658539e-05,0.367046,9.210820e+15,3.551017e+14,0.001567,0.648359
0.65,1.764516e-05,0.367721,9.454470e+15,3.446179e+14,0.001566,0.648259
0.65,1.876852e-05,0.368267,9.656515e+15,3.359977e+14,0.001566,0.648150
0.65,1.995927e-05,0.368701,9.820244e+15,3.289051e+14,0.001565,0.648033
